listing_number,id,listing_url,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
124,250470,https://www.airbnb.com/rooms/250470,"AL PARCO DELLA MUSICA,Wi-Fi,parking",1312791,Massimo,2011-10-19,"Florence, Toscana, Italy",1,Centro Storico,43.78118,11.23266,Entire home/apt,4,1.0,$76.00,21,51,81,338,15,0,,f,1,0.92
125,251811,https://www.airbnb.com/rooms/251811,Ellen house soul space in the city,274074,Elly,2010-10-29,"Florence, Toscana, Italy",22,Centro Storico,43.7733,11.24754,Entire home/apt,6,2.0,$120.00,24,54,84,359,1,1,,t,12,1.26
126,255154,https://www.airbnb.com/rooms/255154,Serena's Charming 2 Bedroom Apt,1340797,Bitte,2011-10-27,"Florence, Tuscany, Italy",2,Campo di Marte,43.76814,11.28079,Entire home/apt,4,2.0,$74.00,8,31,56,295,2,0,,f,2,1.75
127,261285,https://www.airbnb.com/rooms/261285,"loft CONTIRENT centrale, A/C wifi",1369058,Lorenzo,2011-11-04,"Florence, Tuscany, Italy",11,Gavinana Galluzzo,43.76101,11.27991,Entire home/apt,2,,$58.00,26,56,86,361,18,0,,t,10,2.59
128,261609,https://www.airbnb.com/rooms/261609,Affittacamere Benedetta Doppia,1372403,Donatella,2011-11-05,"Florence, Toscana, Italy",3,Centro Storico,43.77455,11.23997,Private room,2,1.0,$83.00,0,0,0,0,0,0,,t,3,0.07
129,264971,https://www.airbnb.com/rooms/264971,A CASA MIA,1390015,Antonella,2011-11-09,"Florence, Toscana, Italy",1,Campo di Marte,43.76999,11.30511,Private room,2,1.0,$200.00,0,0,16,291,0,0,,f,1,0.66
130,270205,https://www.airbnb.com/rooms/270205,Borgo Pinti  in center of Florence,1414775,Fernando,2011-11-16,"Viareggio, Tuscany, Italy",2,Centro Storico,43.77299,11.26279,Entire home/apt,2,1.0,$49.00,22,52,82,82,4,0,048017LTN1842,f,2,1.42
131,271153,https://www.airbnb.com/rooms/271153,Cozy Florence studio with WIFI,264805,Luca And Friends,2010-10-18,"London, UK",6,Campo di Marte,43.78202,11.32323,Entire home/apt,2,1.0,$29.00,22,52,82,357,26,4,,f,1,2.38
132,273691,https://www.airbnb.com/rooms/273691,"The smallest hostel of Florence, Nemoland",725879,Nadja Maria,2011-06-21,"Florence, Toscana, Italy",14,Centro Storico,43.77531,11.25456,Private room,4,1.0,$53.00,7,37,67,310,33,3,,t,14,5.37
133,279009,https://www.airbnb.com/rooms/279009,Florence Studio Flat with Terrace,45991,Elena,2009-10-15,"Florence, Tuscany, Italy",2,Centro Storico,43.77326,11.24596,Entire home/apt,2,1.0,$60.00,24,54,84,352,10,0,,t,1,2.21
134,279656,https://www.airbnb.com/rooms/279656,San nicolino house the quite street,274074,Elly,2010-10-29,"Florence, Toscana, Italy",22,Centro Storico,43.76509,11.25991,Entire home/apt,4,1.0,$107.00,29,59,89,364,2,0,,f,12,0.31
135,281491,https://www.airbnb.com/rooms/281491,Dome View Apartment in Florence,1468173,Roberto,2011-12-03,"Milan, Lombardia, Italy",5,Centro Storico,43.77453,11.25684,Entire home/apt,3,1.0,$52.00,0,0,0,173,0,0,,f,5,0.41
136,282294,https://www.airbnb.com/rooms/282294,Loft DAVID mq.30 in Florence,1468173,Roberto,2011-12-03,"Milan, Lombardia, Italy",5,Centro Storico,43.77438,11.2567,Entire home/apt,3,1.0,$45.00,0,0,0,0,0,0,,f,5,0.06
137,282604,https://www.airbnb.com/rooms/282604,DANTE Apartment mq.85,1468173,Roberto,2011-12-03,"Milan, Lombardia, Italy",5,Centro Storico,43.77438,11.2567,Entire home/apt,7,2.0,$94.00,0,0,0,0,0,0,,f,5,0.31
138,296113,https://www.airbnb.com/rooms/296113,Studio Flat in the Historic Center,1527944,Giovanni,2011-12-22,"Florence, Tuscany, Italy",11,Centro Storico,43.7681,11.2564,Entire home/apt,4,,$116.00,0,0,0,0,0,0,,t,4,1.72
139,297891,https://www.airbnb.com/rooms/297891,Studio P.zza del Carmine2 S.Spirito,154769,Matilde,2010-06-29,"Florence, Toscana, Italy",6,Centro Storico,43.7689,11.24409,Entire home/apt,2,,$47.00,0,0,0,0,0,0,,f,4,0.21
140,298143,https://www.airbnb.com/rooms/298143,Firenze Rentals Mini Corso 12,1184644,Samuel & Paolo For Firenze Rentals®,2011-09-20,"Florence, Toscana, Italy",20,Centro Storico,43.77203,11.25575,Entire home/apt,2,1.0,$86.00,12,41,70,280,26,2,,t,8,3.5
141,302200,https://www.airbnb.com/rooms/302200,The Black Sheep B&B,1556666,Federico,2012-01-02,"Florence, Toscana, Italy",0,Centro Storico,43.77538,11.24744,Private room,5,2.0,$42.00,20,50,80,355,1,0,,f,1,0.03
142,313598,https://www.airbnb.com/rooms/313598,"Florence City Centre, apartment",1612351,William,2012-01-16,"London, England, United Kingdom",2,Centro Storico,43.77388,11.24524,Entire home/apt,4,1.0,$91.00,0,0,0,175,0,0,,f,2,0.07
