,id,listing_url,last_scraped,host_id,host_since,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented_ltm,rounded_revenue_ltm,occupancy_rate_approx,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial
4911,23133842,https://www.airbnb.com/rooms/23133842,2021-12-17,5921942,2013-04-14,11,Centro Storico,43.7755,11.25268,Entire home/apt,2,1.0,66.0,3.0,8,34,61,289,0,0,0,,t,11,,0.0,0.0,0.0,0,1,1,0,0,0,1,1,377.5604443249422,1,0,0,0,0,0,0,1,1,1
4912,23135424,https://www.airbnb.com/rooms/23135424,2021-12-17,5921942,2013-04-14,11,Centro Storico,43.77411,11.25073,Entire home/apt,6,2.0,103.0,3.0,10,12,30,204,2,1,0,,t,11,0.08,5.0,515.0,1.36986301369863,0,1,1,0,0,0,1,1,438.8799130707324,1,0,0,0,0,0,0,1,1,1
4913,23155556,https://www.airbnb.com/rooms/23155556,2021-12-17,62822511,2016-03-13,12,Gavinana Galluzzo,43.75899,11.26788,Entire home/apt,6,3.0,164.0,3.0,0,0,0,16,13,0,0,,t,10,0.29,0.0,0.0,0.0,0,1,1,0,0,0,1,1,1836.527011711282,0,1,0,0,0,0,0,1,1,1
4914,23163096,https://www.airbnb.com/rooms/23163096,2021-12-17,172183524,2018-02-07,2,Rifredi,43.79379,11.23039,Entire home/apt,8,3.0,65.0,1.0,21,51,81,356,13,0,0,,f,2,0.47,0.0,0.0,0.0,0,1,0,0,1,0,1,0,3087.803446119452,0,0,0,1,0,0,0,1,0,1
4915,23163458,https://www.airbnb.com/rooms/23163458,2021-12-17,488317,2011-04-06,35,Centro Storico,43.76956,11.25581,Entire home/apt,3,1.0,127.0,2.0,0,12,42,317,49,6,0,048017LTN3202,t,34,1.23,9.6,1219.2,2.63013698630137,0,1,1,0,0,0,1,1,393.618909335427,1,0,0,0,0,0,0,1,1,1
4916,23166297,https://www.airbnb.com/rooms/23166297,2021-12-17,126869207,2017-04-21,4,Centro Storico,43.78268,11.23705,Private room,2,1.0,28.0,1.0,0,0,0,45,105,0,0,,f,4,2.26,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1860.1956751999007,1,0,0,0,0,0,0,0,1,1
4917,23175157,https://www.airbnb.com/rooms/23175157,2021-12-17,351818,2011-01-18,8,Centro Storico,43.77309,11.25903,Entire home/apt,4,2.0,171.0,1.8,17,47,65,124,63,13,3,,t,8,1.55,110.5,18895.5,30.273972602739725,0,1,1,0,0,0,1,1,243.9515593002264,1,0,0,0,0,1,0,1,1,1
4918,23181096,https://www.airbnb.com/rooms/23181096,2021-12-17,19559897,2014-08-06,1,Campo di Marte,43.7773,11.29059,Entire home/apt,4,1.0,55.0,2.0,0,0,0,75,30,0,0,,t,1,0.68,0.0,0.0,0.0,0,1,0,1,0,0,1,1,2823.614132712652,0,0,0,0,1,0,0,1,0,1
4919,23181219,https://www.airbnb.com/rooms/23181219,2021-12-17,172338965,2018-02-08,1,Centro Storico,43.76896,11.2409,Entire home/apt,4,1.0,113.0,2.0,6,31,58,304,131,9,2,23181219,f,1,2.97,27.0,3051.0,7.397260273972603,0,1,0,1,0,0,1,0,1299.8704143035634,1,0,0,0,0,0,0,1,0,1
4920,23181696,https://www.airbnb.com/rooms/23181696,2021-12-17,1669164,2012-01-29,9,Centro Storico,43.77254,11.26271,Entire home/apt,4,1.0,120.0,2.0,2,5,16,288,128,48,5,,t,8,2.83,76.80000000000001,9216.0,21.04109589041096,0,1,1,0,0,0,1,1,543.8040907146859,1,0,0,0,0,0,0,1,1,1
4921,23184862,https://www.airbnb.com/rooms/23184862,2021-12-17,4762267,2013-01-19,1,Isolotto Legnaia,43.76954,11.2355,Entire home/apt,6,1.0,60.0,2.0,6,36,66,341,3,0,0,,f,1,0.07,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1697.2627728264197,0,0,1,0,0,0,0,1,0,1
4922,23194366,https://www.airbnb.com/rooms/23194366,2021-12-17,14512786,2014-04-20,1,Centro Storico,43.78005,11.26544,Entire home/apt,8,4.0,273.0,2.0,11,41,71,326,53,5,0,,t,1,1.22,27.5,7507.5,7.534246575342466,0,1,0,1,0,0,1,1,1083.4505242109465,1,0,0,0,0,0,0,1,0,1
4923,23199386,https://www.airbnb.com/rooms/23199386,2021-12-17,7439057,2013-07-12,35,Centro Storico,43.77103,11.26928,Entire home/apt,3,1.0,89.0,2.0,12,28,28,90,13,0,0,,t,31,0.29,0.0,0.0,0.0,0,1,1,0,0,0,1,1,1093.6642549171522,1,0,0,0,0,0,0,1,1,1
